date_time,city_area,state,country,ufo_shape,encounter_length,description,date_documented,latitude,longitude,time,weekday,month
2005-10-18 19:23:00,louisville,ky,us,changing,720.0,On October 18&#44 2005&#44 7:23 PM (EST) looking from Blankenbaker Lane in Louisville&#44 KY towards the West a vertical light (like an exclamat,10/20/2005,38.2541667,-85.7594444,19:23,Tuesday,October
2011-10-06 22:00:00,ghent,ny,us,light,5400.0,Multiple colored lights with erratic movements.  ((NUFORC Note:  We suspect a &quot;twinkling&quot; star.  PD)),12/12/2011,42.3291667,-73.6161111,22:00,Thursday,October
2011-01-21 17:11:00,warwick,ri,us,light,10.0,Blue ball of light arching in the sky in Warwick&#44 Rhode Island,1/31/2011,41.7,-71.4166667,17:11,Friday,January
2005-08-06 23:50:00,strongsville,oh,us,cylinder,3600.0,Red and green cylinder object  standing almost stationery with slight&#44 jerky motions.,9/2/2005,41.3144444,-81.8358333,23:50,Saturday,August
2012-12-04 19:45:00,lake villa,il,us,triangle,2.0,BIG Triangle shape craft with red and yellow combined lights with no noise over north il,12/20/2012,42.4169444,-88.0738889,19:45,Tuesday,December
2004-08-21 23:30:00,tinley park,il,us,unknown,1800.0,3 Red Lights over Tinley Park&#44 IL 8/21/04,10/27/2004,41.5733333,-87.7844444,23:30,Saturday,August
2012-07-08 20:45:00,santa nella,ca,us,sphere,120.0,07/08/12&#44 20:45&#44 Santa Nella&#44 Ca. Event duration 1-2 min. 4 reddish colored spheres in box formation; 1 witness.,9/24/2012,38.4972222,-122.9655556,20:45,Sunday,July
1977-06-15 19:00:00,arlington heights,il,us,disk,1200.0,My Father&#44 sister and my self saw a disc shaped craft&#44 it looked like a classic &quot;Bell&quot; shaped saucer over Arlington Hts and rolling Mea,6/18/2003,42.0883333,-87.9805556,19:00,Wednesday,June
2009-09-30 07:36:00,clay springs,az,us,disk,60.0,9/30/09  7:30  Clay Springs  Az. 1 minutes disk shape over the ranch house looking west.       4/20/10,5/12/2010,34.3616667,-110.2947222,07:36,Wednesday,September
2008-07-17 02:00:00,jacksonville,fl,us,light,5.0,Blueish/Green Flash around 2 am over Jacksonville,8/12/2008,30.3319444,-81.6558333,02:00,Thursday,July
2010-08-14 10:00:00,des plaines,il,us,other,1200.0,Black Helicopter over house.,11/21/2010,42.0333333,-87.8833333,10:00,Saturday,August
2012-09-15 15:30:00,phoenix,az,us,disk,2400.0,ON 9/15/12 IN THE EARLY MORNING BETWEEN 3:30 AND 4:00 I OBSERVED A SAUCER SHAPED SET OF RED&#44 GREEN&#44 AND WHITE LIGHT SIMUTANEOUSLY FLASH,9/24/2012,33.4483333,-112.0733333,15:30,Saturday,September
2005-06-10 14:00:00,freeport,ny,us,unknown,30.0,Strange sight on Long Island...daytime,6/20/2005,40.6575,-73.5836111,14:00,Friday,June
2002-11-23 05:22:00,swaledale,ia,us,circle,300.0,A moving circle of white light,12/23/2002,42.9786111,-93.3166667,05:22,Saturday,November
2001-04-24 18:25:00,hillsborough,nc,us,other,60.0,Large plane with triangle wings in rear with long fuselage with short set of wings up front&#44silvercolor with engines that whine .,4/28/2001,36.0752778,-79.1,18:25,Tuesday,April
2012-11-16 19:00:00,las vegas,nv,us,other,20.0,White&#44 large arrow-shaped UFO flew over/near Las Vegas airport on a November evening.,2/18/2013,36.175,-115.1363889,19:00,Friday,November
1954-08-01 22:00:00,north hollywood,ca,us,light,1800.0,Star like point of light slowly travelling across the sky in 1954,2/3/2012,34.1722222,-118.3780556,22:00,Sunday,August
2013-12-17 17:00:00,las vegas,nv,us,teardrop,600.0,Unknown crafts shadow passenger jet.,12/23/2013,36.175,-115.1363889,17:00,Tuesday,December
2012-09-16 15:55:00,san jose,ca,us,disk,4.0,Silent craft moving south from San Jose to Gilroy at an estimated 3&#44000 MPH,9/24/2012,37.3394444,-121.8938889,15:55,Sunday,September
2005-10-18 01:15:00,hickory hills,il,us,formation,15.0,one object with three strobe lights pulsating - been over 10min in one position then moved very fast thru other position .,10/20/2005,41.7255556,-87.825,01:15,Tuesday,October
2012-01-03 19:30:00,buford,ga,us,unknown,900.0,My husband was leaving to run an errand around 7:30 p.m. and noticed this bright light in the sky that was not moving.  At first he tho,1/12/2012,34.1205556,-84.0044444,19:30,Tuesday,January
1983-07-15 22:00:00,taylorville,il,us,disk,120.0,UFO SIGHTED UP CLOSE AND PERSONAL IN TAYLORVILLE&#44 IL.,3/19/2002,39.5488889,-89.2944444,22:00,Friday,July
2009-05-01 19:30:00,albuquerque (near),nm,us,light,180.0,Bright light heading for Earth near Albuquerque&#44 NM,8/24/2010,35.0844444,-106.6505556,19:30,Friday,May
2000-01-01 22:00:00,evansville,in,us,cigar,2.0,Long black cigar-shaped craft flew over at low altitude and was extremely quick despite no engine noise (only wind),2/24/2001,37.9747222,-87.5558333,22:00,Saturday,January
2012-07-17 04:14:00,hollansburg,oh,us,fireball,120.0,Fireball seen leaving bright strobing star.,8/5/2012,39.9969444,-84.7922222,04:14,Tuesday,July
2012-09-25 03:30:00,braham,mn,us,disk,1500.0,Unidentified Object hovering over Grasston&#44 Minnesota,10/30/2012,45.7227778,-93.1705556,03:30,Tuesday,September
